A102910 | 1 | A130256 | 1 | 100 | PM | 0.0198019801980198
A102910 | 1 | A113405 | 1 | 35 | PM | 0.0555555555555556
A102910 | 1 | A002266 | 1 | 82 | PM | 0.0240963855421687
A102910 | 1 | A002415 | 1 | 41 | PM | 0.0476190476190476
A102910 | 1 | A036362 | 1 | 18 | PM | 0.105263157894737
A102910 | 1 | A132090 | 1 | 104 | PM | 0.019047619047619
A102910 | 1 | A139714 | 1 | 34 | PM | 0.0571428571428571
A102910 | 1 | A076664 | 1 | 45 | PM | 0.0434782608695652
A102910 | 1 | A110532 | 1 | 73 | PM | 0.027027027027027
A102910 | 1 | A007290 | 1 | 42 | PM | 0.0465116279069767
A102910 | 1 | A000701 | 1 | 48 | PM | 0.0408163265306122
A102910 | 1 | A052928 | 1 | 73 | PM | 0.027027027027027
A102910 | 1 | A139761 | 1 | 34 | PM | 0.0571428571428571
A102910 | 1 | A059995 | 1 | 102 | PM | 0.0194174757281553
A102910 | 1 | A169810 | 1 | 51 | PM | 0.0384615384615385
A102910 | 1 | A033444 | 1 | 53 | PM | 0.037037037037037
A001789 | 25 | A048766 | 25 | 104 | PM | 0.247619047619048
A101094 | 30 | A055642 | 30 | 105 | 0T | 0.292452830188679
A245031 | 19 | A040000 | 19 | 104 | PM | 0.19047619047619
A122214 | 8 | A130260 | 8 | 100 | PM | 0.0891089108910891
A015356 | 11 | A206244 | 11 | 85 | 0T | 0.13953488372093
A027941 | 27 | A130255 | 27 | 99 | PM | 0.28
A008861 | 33 | A029837 | 33 | 104 | PM | 0.323809523809524
A001475 | 25 | A130255 | 25 | 99 | 0T | 0.26
A008862 | 33 | A029837 | 33 | 104 | PM | 0.323809523809524
A006218 | 59 | A061017 | 59 | 76 | PM | 0.779220779220779
A054519 | 45 | A061017 | 45 | 76 | 0T | 0.597402597402597
A096954 | 6 | A091194 | 6 | 85 | PM | 0.0813953488372093
A096954 | 6 | A059995 | 6 | 102 | PM | 0.0679611650485437
A008578 | 58 | A036234 | 58 | 69 | 0T | 0.842857142857143
A008791 | 15 | A040000 | 15 | 104 | PM | 0.152380952380952
A006558 | 8 | A040000 | 8 | 104 | 0T | 0.0857142857142857
A130255 | 99 | A027941 | 5 | 27 | PM | 0.214285714285714
A095114 | 57 | A001462 | 57 | 83 | 0T | 0.69047619047619
A181174 | 13 | A040000 | 13 | 104 | 0T | 0.133333333333333
A135652 | 5 | A000322 | 5 | 34 | 0T | 0.171428571428571
A135652 | 5 | A060455 | 5 | 35 | 0T | 0.166666666666667
A135652 | 5 | A058367 | 5 | 48 | 0T | 0.122448979591837
A135652 | 5 | A172033 | 5 | 67 | 0T | 0.0882352941176471
A135652 | 5 | A005708 | 5 | 53 | 0T | 0.111111111111111
A135652 | 5 | A187243 | 5 | 79 | 0T | 0.075
A135652 | 5 | A058364 | 5 | 52 | 0T | 0.113207547169811
A135652 | 5 | A000383 | 5 | 36 | 0T | 0.162162162162162
A135652 | 5 | A005710 | 5 | 55 | 0T | 0.107142857142857
A135652 | 5 | A058366 | 5 | 49 | 0T | 0.12
A135652 | 5 | A206244 | 5 | 85 | 0T | 0.0697674418604651
A135652 | 5 | A005709 | 5 | 48 | 0T | 0.122448979591837
A135652 | 5 | A055642 | 5 | 105 | 0T | 0.0566037735849057
A135652 | 5 | A048766 | 5 | 104 | PM | 0.0571428571428571
A135652 | 5 | A137588 | 5 | 85 | PM | 0.0697674418604651
A135652 | 5 | A058365 | 5 | 50 | 0T | 0.117647058823529
A135652 | 5 | A003520 | 5 | 50 | 0T | 0.117647058823529
A135652 | 5 | A139398 | 5 | 35 | 0T | 0.166666666666667
A049670 | 15 | A040000 | 15 | 104 | PM | 0.152380952380952
A131577 | 34 | A070941 | 34 | 92 | PM | 0.376344086021505
A002088 | 56 | A038567 | 56 | 77 | PM | 0.730769230769231
A000523 | 104 | A000225 | 5 | 32 | 0F | 0.181818181818182
A038567 | 77 | A002088 | 15 | 56 | PM | 0.280701754385965
A193427 | 23 | A048766 | 23 | 104 | PM | 0.228571428571429
A130260 | 100 | A055588 | 5 | 27 | PM | 0.214285714285714
A003056 | 80 | A000217 | 11 | 53 | 0F | 0.222222222222222
A174284 | 7 | A000523 | 7 | 104 | PM | 0.0761904761904762
A174284 | 7 | A000194 | 7 | 97 | 0T | 0.0816326530612245
A000225 | 32 | A029837 | 32 | 104 | 0F | 0.314285714285714
A059332 | 9 | A040000 | 9 | 104 | 0T | 0.0952380952380952
A125149 | 4 | A130255 | 4 | 99 | 0T | 0.05
A125149 | 4 | A040000 | 4 | 104 | 0T | 0.0476190476190476
A125149 | 4 | A074286 | 4 | 69 | PM | 0.0714285714285714
A100772 | 7 | A000523 | 7 | 104 | PM | 0.0761904761904762
A100772 | 7 | A000194 | 7 | 97 | 0T | 0.0816326530612245
A010050 | 15 | A040000 | 15 | 104 | 0T | 0.152380952380952
A050536 | 6 | A091194 | 6 | 85 | PM | 0.0813953488372093
A050536 | 6 | A059995 | 6 | 102 | PM | 0.0679611650485437
A001020 | 19 | A055642 | 19 | 105 | 0T | 0.188679245283019
A002456 | 15 | A040000 | 15 | 104 | PM | 0.152380952380952
A135653 | 9 | A206244 | 9 | 85 | 0T | 0.116279069767442
A135653 | 9 | A055642 | 9 | 105 | 0T | 0.0943396226415094
A008860 | 34 | A029837 | 34 | 104 | PM | 0.333333333333333
A176501 | 17 | A130260 | 17 | 100 | PM | 0.178217821782178
A231179 | 23 | A130255 | 23 | 99 | PM | 0.24
A048211 | 24 | A130260 | 24 | 100 | PM | 0.247524752475248
A057084 | 19 | A048766 | 19 | 104 | PM | 0.19047619047619
A029837 | 104 | A008859 | 6 | 35 | PM | 0.194444444444444
A029837 | 104 | A008861 | 6 | 33 | PM | 0.205882352941176
A029837 | 104 | A008863 | 6 | 34 | PM | 0.2
A029837 | 104 | A131577 | 6 | 34 | 0F | 0.2
A029837 | 104 | A008862 | 6 | 33 | PM | 0.205882352941176
A029837 | 104 | A008860 | 6 | 34 | PM | 0.2
A029837 | 104 | A000079 | 6 | 33 | PM | 0.205882352941176
A000217 | 53 | A002024 | 53 | 83 | PM | 0.642857142857143
A247328 | 62 | A110654 | 62 | 75 | PM | 0.828947368421053
A247328 | 62 | A008619 | 62 | 74 | 0T | 0.84
A040000 | 104 | A006125 | 1 | 15 | 0T | 0.125
A040000 | 104 | A003319 | 1 | 20 | PM | 0.0952380952380952
A040000 | 104 | A005748 | 1 | 15 | 0T | 0.125
A040000 | 104 | A002467 | 1 | 20 | PM | 0.0952380952380952
A040000 | 104 | A217748 | 1 | 49 | 0T | 0.04
A040000 | 104 | A143642 | 1 | 38 | 0T | 0.0512820512820513
A040000 | 104 | A000601 | 1 | 49 | 0T | 0.04
A040000 | 104 | A134737 | 1 | 22 | 0T | 0.0869565217391304
A040000 | 104 | A046054 | 1 | 49 | 0T | 0.04
A040000 | 104 | A187224 | 1 | 109 | 0T | 0.0181818181818182
A040000 | 104 | A031218 | 1 | 71 | 0T | 0.0277777777777778
A040000 | 104 | A174687 | 1 | 22 | 0T | 0.0869565217391304
A040000 | 104 | A057961 | 1 | 55 | 0T | 0.0357142857142857
A040000 | 104 | A103586 | 1 | 99 | 0T | 0.02
A040000 | 104 | A187484 | 1 | 95 | 0T | 0.0208333333333333
A040000 | 104 | A082758 | 1 | 19 | 0T | 0.1
A040000 | 104 | A076025 | 1 | 24 | 0T | 0.08
A040000 | 104 | A049660 | 1 | 18 | PM | 0.105263157894737
A040000 | 104 | A005640 | 1 | 17 | 0T | 0.111111111111111
A040000 | 104 | A003278 | 1 | 57 | 0T | 0.0344827586206897
A040000 | 104 | A175944 | 1 | 74 | 0T | 0.0266666666666667
A040000 | 104 | A001353 | 1 | 24 | PM | 0.08
A040000 | 104 | A053295 | 1 | 27 | 0T | 0.0714285714285714
A040000 | 104 | A132781 | 1 | 72 | PM | 0.0273972602739726
A040000 | 104 | A000127 | 1 | 43 | 0T | 0.0454545454545455
A040000 | 104 | A001793 | 1 | 27 | 0T | 0.0714285714285714
A040000 | 104 | A156253 | 1 | 73 | 0T | 0.027027027027027
A040000 | 104 | A140480 | 1 | 36 | 0T | 0.0540540540540541
A040000 | 104 | A055099 | 1 | 23 | 0T | 0.0833333333333333
A040000 | 104 | A006012 | 1 | 24 | 0T | 0.08
A040000 | 104 | A032351 | 1 | 29 | 0T | 0.0666666666666667
A040000 | 104 | A003136 | 1 | 63 | PM | 0.03125
A040000 | 104 | A055997 | 1 | 23 | 0T | 0.0833333333333333
A040000 | 104 | A006516 | 1 | 23 | PM | 0.0833333333333333
A040000 | 104 | A002458 | 1 | 18 | 0T | 0.105263157894737
A040000 | 104 | A002658 | 1 | 9 | 0T | 0.2
A040000 | 104 | A127235 | 1 | 6 | 0T | 0.285714285714286
A040000 | 104 | A015723 | 1 | 49 | 0T | 0.04
A040000 | 104 | A058378 | 1 | 12 | PM | 0.153846153846154
A040000 | 104 | A022917 | 1 | 25 | 0T | 0.0769230769230769
A040000 | 104 | A161704 | 1 | 35 | 0T | 0.0555555555555556
A040000 | 104 | A024166 | 1 | 35 | PM | 0.0555555555555556
A040000 | 104 | A057084 | 1 | 19 | 0T | 0.1
A040000 | 104 | A060075 | 1 | 13 | 0T | 0.142857142857143
A040000 | 104 | A212560 | 1 | 34 | PM | 0.0571428571428571
A040000 | 104 | A226227 | 1 | 61 | 0T | 0.032258064516129
A040000 | 104 | A001788 | 1 | 26 | PM | 0.0740740740740741
A040000 | 104 | A002449 | 1 | 16 | 0T | 0.117647058823529
A040000 | 104 | A000629 | 1 | 19 | 0T | 0.1
A040000 | 104 | A141468 | 1 | 65 | PM | 0.0303030303030303
A040000 | 104 | A054243 | 1 | 35 | 0T | 0.0555555555555556
