Query Results (1465 answers): 
x       | y                                
A005928 | N.J.A.Sloane                     
A005843 | N.J.A.Sloane                     
A001286 | N.J.A.Sloane                     
A002315 | N.J.A.Sloane                     
A005164 | SimonPlouffe                     
A000013 | N.J.A.Sloane                     
A000041 | N.J.A.Sloane                     
A007559 | N.J.A.Sloane                     
A002144 | N.J.A.Sloane                     
A002322 | N.J.A.Sloane                     
A048250 | LabosElemer                      
A017665 | N.J.A.Sloane                     
A008233 | N.J.A.Sloane                     
A027457 | OlivierGA(c)rard                 
A027466 | OlivierGA(c)rard                 
A034020 | N.J.A.Sloane                     
A005319 | N.J.A.Sloane                     
A057091 | WolfdieterLang                   
A005563 | N.J.A.Sloane                     
A015519 | OlivierGA(c)rard                 
A000625 | N.J.A.Sloane                     
A029416 | N.J.A.Sloane                     
A001489 | N.J.A.Sloane                     
A002605 | ColinMallows                     
A002573 | N.J.A.Sloane                     
A001044 | R.K.Guy                          
A003325 | N.J.A.Sloane                     
A015518 | OlivierGA(c)rard                 
A026371 | ClarkKimberling                  
A060477 | ThomasWard                       
A049598 | JoeKeane                         
A013954 | N.J.A.Sloane                     
A006352 | N.J.A.Sloane                     
A036689 | FeliceRusso                      
A007967 | J.H.Conway                       
A036362 | N.J.A.Sloane                     
A010372 | N.J.A.Sloane                     
A000736 | SimonPlouffe                     
A027699 | N.J.A.Sloane                     
A033282 | N.J.A.Sloane                     
A006331 | N.J.A.Sloane                     
A008299 | N.J.A.Sloane                     
A035263 | N.J.A.Sloane                     
A005320 | N.J.A.Sloane                     
A006356 | N.J.A.Sloane                     
A009490 | DavidW.Wilson                    
A000016 | N.J.A.Sloane                     
A029742 | PatrickDeGeest                   
A000566 | N.J.A.Sloane                     
A008217 | N.J.A.Sloane                     
A034380 | AlexFink                         
A007240 | N.J.A.Sloane                     
A007463 | N.J.A.Sloane                     
A047865 | N.J.A.Sloane                     
A035363 | OlivierGA(c)rard                 
A000200 | E.M.Rains                        
A002577 | N.J.A.Sloane                     
A049660 | ClarkKimberling                  
A006261 | N.J.A.Sloane                     
A028242 | N.J.A.Sloane                     
A132049 | WolfdieterLang                   
A008288 | N.J.A.Sloane                     
A004121 | N.J.A.Sloane                     
A051000 | EricW.Weisstein                  
A006359 | N.J.A.Sloane                     
A002192 | N.J.A.Sloane                     
A044813 | ClarkKimberling                  
A005176 | N.J.A.Sloane                     
A001791 | N.J.A.Sloane                     
A027760 | N.J.A.Sloane                     
A010685 | N.J.A.Sloane                     
A008275 | N.J.A.Sloane                     
A003520 | N.J.A.Sloane                     
A014097 | DavidBroadhurst                  
A048272 | AdamKertesz                      
A016123 | N.J.A.Sloane                     
A004122 | N.J.A.Sloane                     
A001813 | N.J.A.Sloane                     
A023359 | DavidW.Wilson                    
A000010 | N.J.A.Sloane                     
A026741 | J.CarlBellinger                  
A034776 | DavidW.Wilson                    
A002212 | R.C.Read                         
A030511 | MattiasSvanstrom                 
A001763 | N.J.A.Sloane                     
A027416 | N.J.A.Sloane                     
A033437 | N.J.A.Sloane                     
A002093 | N.J.A.Sloane                     
A000688 | N.J.A.Sloane                     
A006058 | N.J.A.Sloane                     
A027641 | N.J.A.Sloane                     
A012131 | PatrickDemichel                  
A002736 | N.J.A.Sloane                     
A026363 | ClarkKimberling                  
A035099 | BarryBrent                       
A025480 | DavidW.Wilson                    
A020753 | DavidW.Wilson                    
A003557 | MarcLeBrun                       
A000071 | N.J.A.Sloane                     
A007971 | DavidDumas                       
A000734 | SimonPlouffe                     
A000678 | E.M.Rains                        
A010060 | N.J.A.Sloane                     
A007579 | SimonPlouffe                     
A007413 | N.J.A.Sloane                     
A037445 | YasutoshiKohmoto                 
A002526 | N.J.A.Sloane                     
A007745 | D.Bouchon                        
A000330 | N.J.A.Sloane                     
A002524 | N.J.A.Sloane                     
A004596 | N.J.A.Sloane                     
A017113 | N.J.A.Sloane                     
A003485 | N.J.A.Sloane                     
A002388 | N.J.A.Sloane                     
A005101 | N.J.A.Sloane                     
A001850 | N.J.A.Sloane                     
A005704 | N.J.A.Sloane                     
A033991 | N.J.A.Sloane                     
A000142 | N.J.A.Sloane                     
A001019 | N.J.A.Sloane                     
A007310 | C.Christofferson                 
A001680 | N.J.A.Sloane                     
A034867 | N.J.A.Sloane                     
A035011 | N.J.A.Sloane                     
A034444 | N.J.A.Sloane                     
A003095 | RichardStanley                   
A071820 | N.J.A.Sloane                     
A005230 | SimonPlouffe                     
A038243 | N.J.A.Sloane                     
A005432 | SimonPlouffe                     
A046053 | EricW.Weisstein                  
A002531 | N.J.A.Sloane                     
A027306 | ClarkKimberling                  
A015266 | OlivierGA(c)rard                 
A000718 | SimonPlouffe                     
A001541 | N.J.A.Sloane                     
A010888 | N.J.A.Sloane                     
A033301 | R.C.Read                         
A003050 | N.J.A.Sloane                     
A049345 | R.K.Guy                          
A001120 | SimonPlouffe                     
A127670 | WolfdieterLang                   
A007434 | N.J.A.Sloane                     
A046097 | EricW.Weisstein                  
A011971 | R.K.Guy                          
A037945 | N.J.A.Sloane                     
A000037 | SimonPlouffe                     
A000785 | N.J.A.Sloane                     
A000161 | N.J.A.Sloane                     
A047749 | N.J.A.Sloane                     
A000396 | N.J.A.Sloane                     
A006125 | N.J.A.Sloane                     
A001250 | N.J.A.Sloane                     
A000751 | N.J.A.Sloane                     
A008969 | N.J.A.Sloane                     
A037946 | N.J.A.Sloane                     
A001297 | N.J.A.Sloane                     
A008277 | N.J.A.Sloane                     
A006472 | N.J.A.Sloane                     
A001452 | N.J.A.Sloane                     
A009764 | R.H.Hardin                       
A006551 | RobertG.Wilsonv                  
A022559 | el                               
A002799 | N.J.A.Sloane                     
A005200 | N.J.A.Sloane                     
A049029 | WolfdieterLang                   
A049450 | JoeKeane                         
A014140 | N.J.A.Sloane                     
A007246 | N.J.A.Sloane                     
A001762 | N.J.A.Sloane                     
A012509 | PatrickDemichel                  
A005246 | N.J.A.Sloane                     
A006318 | N.J.A.Sloane                     
A009964 | N.J.A.Sloane                     
A008859 | R.K.Guy                          
A030191 | WolfdieterLang                   
A005318 | N.J.A.Sloane                     
A007978 | JeffreyShallit                   
